Rank,Количество,Последовательность
1,12883,в
2,12534,и
3,8871,на
4,8734,не
5,6551,я
6,6483,что
7,6044,с
8,5783,а
9,5637,xxx
10,4868,как
11,3991,у
12,3885,так
13,3720,то
14,3296,это
15,2715,по
16,2420,yyy
17,2231,из
18,2229,был
19,2056,мен
20,1912,он
21,1898,ххх
22,1862,все
23,1808,за
24,1753,мне
25,1752,но
26,1701,к
27,1695,ты
28,1563,вот
29,1538,ну
30,1434,от
31,1399,когд
32,1343,же
33,1315,котор
34,1234,о
35,1214,пот
36,1183,да
37,1176,его
38,1166,есл
39,1138,для
40,1127,она
41,1077,уже
42,1071,там
43,1070,нет
44,1070,тольк
45,1008,сам
46,1001,ест
47,998,мы
48,976,теб
49,974,чтоб
50,962,они
51,961,бы
52,960,одн
53,930,вы
54,925,над
55,914,тут
56,865,до
57,861,друг
58,861,нас
59,858,сво
60,854,работ
61,813,или
62,810,раз
63,797,лет
64,788,еще
65,779,ууу
66,759,себ
67,718,можн
68,707,будет
69,703,дом
70,684,кто
71,684,прост
72,675,про
73,660,где
74,659,очен
75,656,больш
76,639,их
77,635,посл
78,624,наш
79,623,всё
80,614,lt
81,613,тепер
82,604,под
83,587,перв
84,581,год
85,573,нов
86,566,даж
87,566,со
88,549,сегодн
89,547,чем
90,546,может
91,539,муж
92,535,вообщ
93,533,ли
94,530,врем
95,528,через
96,518,жен
97,510,люд
98,510,поч
99,507,человек
100,505,один
101,493,хорош
102,487,без
103,486,рук
104,472,тож
105,465,говорит
106,464,кот
107,462,при
108,457,вас
109,456,ещё
110,452,машин
111,448,zzz
112,448,нужн
113,443,вопрос
114,443,ему
115,442,мам
116,437,сейчас
117,425,во
118,419,телефон
119,415,дел
120,411,утр
121,401,пок
122,395,стал
123,393,них
124,392,кажд
125,391,ден
126,390,час
127,388,ее
128,387,сказал
129,386,слов
130,385,том
131,380,ни
132,376,этот
133,374,два
134,374,жизн
135,369,дет
136,366,чег
137,365,нег
138,361,нам
139,361,нич
140,356,мест
141,356,мог
142,356,решил
143,348,этом
144,347,хот
145,340,девушк
146,338,тем
147,335,лучш
148,330,вам
149,330,начал
150,329,мой
151,322,минут
152,316,пар
153,315,2
154,315,знаю
155,314,вес
156,313,мужик
157,312,втор
158,311,всех
159,309,быт
160,304,тог
161,302,тогд
162,300,нибуд
163,299,ваш
164,296,буд
165,296,голов
166,296,этог
167,295,вмест
168,284,обсужден
169,282,вод
170,282,коллег
171,281,вечер
172,279,глаз
173,279,зач
174,279,мног
175,278,прям
176,277,вчер
177,276,тип
178,273,её
179,272,ей
180,269,три
181,267,ним
182,264,общ
183,260,тво
184,258,делат
185,256,перед
186,252,понял
187,252,сраз
188,251,квартир
189,251,магазин
190,251,почт
191,249,интернет
192,247,дорог
193,247,пол
194,244,игр
195,244,назад
196,243,работает
197,243,сын
198,242,ног
199,241,эти
200,240,ряд
201,239,10
202,238,куд
203,238,новост
204,236,блин
205,235,всегд
206,234,женщин
207,234,им
208,234,месяц
209,232,gt
210,232,долг
211,232,ж
212,231,знаком
213,230,нормальн
214,228,вид
215,228,нескольк
216,227,двер
217,226,думаю
218,225,всег
219,225,стоит
220,224,пор
221,224,сторон
222,223,купил
223,222,ответ
224,220,ноч
225,218,комментар
226,216,всем
227,216,тот
228,213,подруг
229,213,хоч
230,212,брат
231,211,мое
232,209,фильм
233,208,обычн
234,207,знает
235,207,стар
236,206,част
237,205,3
238,205,сделат
239,204,xxx&gt
240,201,говорю
241,201,две
242,201,ней
243,201,пришл
244,201,сосед
245,199,город
246,199,интересн
247,198,d
248,198,времен
249,198,момент
250,197,5
251,197,мир
252,197,моя
253,197,пят
254,196,скольк
255,195,девочк
256,195,прошл
257,195,сайт
258,194,всяк
259,194,конечн
260,194,разн
261,193,хотел
262,192,никак
263,192,окн
264,191,ага
265,191,кошк
266,189,полн
267,188,имен
268,188,стол
269,187,1
270,187,нее
271,186,люб
272,186,точн
273,184,видел
274,184,метр
275,184,никогд
276,183,вдруг
277,183,плох
278,183,разговор
279,181,должн
280,181,лиц
281,180,взял
282,179,вед
283,179,сделал
284,177,значит
285,177,маленьк
286,177,пап
287,176,об
288,176,поэт
289,175,всю
290,175,ког
291,175,последн
292,174,главн
293,174,проблем
294,174,улиц
295,173,будут
296,173,стат
297,173,туд
298,172,4
299,172,комнат
300,170,наверн
301,169,бабушк
302,169,врод
303,168,боле
304,168,никт
305,167,жив
306,167,совс
307,166,комп
308,166,рабоч
309,166,свою
310,166,сиж
311,166,стран
312,164,случа
313,164,школ
314,163,голос
315,163,думал
316,163,мол
317,162,компан
318,161,начальник
319,160,смотрю
320,159,мат
321,158,нельз
322,157,дальш
323,157,зат
324,157,конц
325,156,молод
326,156,раньш
327,156,собак
328,156,трет
329,155,детств
330,155,форум
331,154,опят
332,153,чут
333,152,спросил
334,151,мал
335,151,фраз
336,149,мозг
337,149,уж
338,148,деньг
339,148,знаеш
340,148,офис
341,147,кажетс
342,147,оно
343,147,цвет
344,147,эта
345,146,давн
346,146,книг
347,146,следующ
348,145,пуст
349,145,секс
350,144,прав
351,143,дня
352,143,пошл
353,143,сказат
354,143,смотрит
355,143,смысл
356,143,сначал
357,142,клиент
358,142,эту
359,141,недавн
360,141,родител
361,141,сильн
362,141,цел
363,140,бел
364,140,быстр
365,140,ко
366,140,мужчин
367,139,межд
368,138,жоп
369,138,м
370,138,свет
371,137,недел
372,136,доч
373,136,мои
374,135,отдел
375,135,правд
376,134,понимаю
377,133,видим
378,133,похож
379,133,программист
380,133,язык
381,132,виж
382,132,дава
383,132,купит
384,132,некотор
385,131,врач
386,131,красив
387,131,назван
388,131,правильн
